,Line_ct,Order ID,Order Date,Ship Date,Order Quantity,Unit Price,Discount,Sales,Profit,Cost,GM%,Product Category,Product Sub-Category,Product Name,Customer Segment,Customer Name,Country,Region,Province (CA),Returned,Order_YMD,Order Day,Order Month,Order Year
0,0,3,2010-10-13,10/20/10,6,38.94,0.04,261.54,-213.25,474.79,-0.815362851,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Small Business,Muhammed MacIntyre,Canada,CA-Nunavut,Nunavut,0,2010-10-13,13,10,2010
1,1,293,2012-10-01,10/2/12,49,208.16,0.07,10123.02,457.81,9665.21,0.045224646,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Consumer,Barry French,Canada,CA-Nunavut,Nunavut,0,2012-10-01,1,10,2012
2,2,293,2012-10-01,10/3/12,27,8.69,0.01,244.57,46.71,197.86,0.190988265,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-DÂ® Ring Binder, Heavy Gauge Vinyl",Consumer,Barry French,Canada,CA-Nunavut,Nunavut,0,2012-10-01,1,10,2012
3,3,483,2011-07-10,7/12/11,30,195.99,0.08,4965.7595,1198.97,3766.7895,0.241447456,Technology,Telephones and Communication,R380,Corporate,Clay Rozendal,Canada,CA-Nunavut,Nunavut,0,2011-07-10,10,7,2011
4,4,515,2010-08-28,8/30/10,19,21.78,0.08,394.27,30.94,363.33,0.078474142,Office Supplies,Appliances,Holmes HEPA Air Purifier,Consumer,Carlos Soltero,Canada,CA-Nunavut,Nunavut,0,2010-08-28,28,8,2010
5,5,515,2010-08-28,8/30/10,21,6.64,0.05,146.69,4.43,142.26,0.030199741,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Consumer,Carlos Soltero,Canada,CA-Nunavut,Nunavut,0,2010-08-28,28,8,2010
6,6,613,2011-06-17,6/17/11,12,7.3,0.03,93.54,-54.04,147.58,-0.577720761,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Corporate,Carl Jackson,Canada,CA-Nunavut,Nunavut,0,2011-06-17,17,6,2011
7,7,613,2011-06-17,6/18/11,22,42.76,0.09,905.08,127.7,777.38,0.1410925,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Corporate,Carl Jackson,Canada,CA-Nunavut,Nunavut,0,2011-06-17,17,6,2011
8,8,643,2011-03-24,3/25/11,21,138.14,0.07,2781.82,-695.26,3477.08,-0.249929902,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Corporate,Monica Federle,Canada,CA-Nunavut,Nunavut,0,2011-03-24,24,3,2011
9,9,678,2010-02-26,2/26/10,44,4.98,0.07,228.41,-226.36,454.77,-0.991024911,Office Supplies,Paper,Xerox 198,Home Office,Dorothy Badders,Canada,CA-Nunavut,Nunavut,1,2010-02-26,26,2,2010
10,10,807,2010-11-23,11/24/10,45,4.28,0.01,196.85,-166.85,363.7,-0.847599695,Office Supplies,Paper,Xerox 1980,Home Office,Neola Schneider,Canada,CA-Nunavut,Nunavut,0,2010-11-23,23,11,2010
11,11,807,2010-11-23,11/24/10,32,3.95,0.04,124.56,-14.33,138.89,-0.115044958,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Home Office,Neola Schneider,Canada,CA-Nunavut,Nunavut,0,2010-11-23,23,11,2010
12,12,868,2012-06-08,6/9/12,32,21.78,0.0,716.84,134.72,582.12,0.187935941,Office Supplies,Appliances,Holmes HEPA Air Purifier,Home Office,Carlos Daly,Canada,CA-Nunavut,Nunavut,0,2012-06-08,8,6,2012
13,13,868,2012-06-08,6/10/12,31,47.98,0.04,1474.33,114.46,1359.87,0.077635265,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Home Office,Carlos Daly,Canada,CA-Nunavut,Nunavut,0,2012-06-08,8,6,2012
14,14,933,2012-08-04,8/4/12,15,5.28,0.02,80.61,-4.72,85.33,-0.058553529,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLockÂ® Ring Binders",Small Business,Claudia Miner,Canada,CA-Nunavut,Nunavut,0,2012-08-04,4,8,2012
15,15,995,2011-05-30,5/31/11,46,39.89,0.03,1815.49,782.91,1032.58,0.431238949,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Home Office,Neola Schneider,Canada,CA-Nunavut,Nunavut,0,2011-05-30,30,5,2011
16,16,998,2009-11-25,11/26/09,16,15.74,0.07,248.26,93.8,154.46,0.377829695,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Business,Allen Rosenblatt,Canada,CA-Nunavut,Nunavut,0,2009-11-25,25,11,2009
17,17,1154,2012-02-14,2/16/12,44,100.98,0.04,4462.23,440.72,4021.51,0.09876676,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Home Office,Sylvia Foulston,Canada,CA-Nunavut,Nunavut,0,2012-02-14,14,2,2012
18,18,1154,2012-02-14,2/16/12,11,71.37,0.25,663.784,-481.04,1144.824,-0.724693575,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Home Office,Sylvia Foulston,Canada,CA-Nunavut,Nunavut,0,2012-02-14,14,2,2012
19,19,1344,2012-04-15,4/22/12,15,65.99,0.06,834.904,-11.68,846.584,-0.013989632,Technology,Telephones and Communication,g520,Corporate,Jim Radford,Canada,CA-Nunavut,Nunavut,0,2012-04-15,15,4,2012
20,20,1344,2012-04-15,4/19/12,18,155.99,0.01,2480.9205,313.58,2167.3405,0.126396634,Technology,Telephones and Communication,LX 788,Corporate,Jim Radford,Canada,CA-Nunavut,Nunavut,0,2012-04-15,15,4,2012
21,21,1412,2010-03-12,3/14/10,13,3.69,0.1,59.03,26.92,32.11,0.456039302,Office Supplies,Labels,Avery 52,Consumer,Carlos Soltero,Canada,CA-Nunavut,Nunavut,0,2010-03-12,12,3,2010
22,22,1412,2010-03-12,3/14/10,21,4.71,0.05,97.48,-5.77,103.25,-0.059191629,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Consumer,Carlos Soltero,Canada,CA-Nunavut,Nunavut,0,2010-03-12,12,3,2010
23,23,1539,2011-03-09,3/11/11,33,15.99,0.1,511.83,-172.88,684.71,-0.3377684,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Corporate,Carl Ludwig,Canada,CA-Nunavut,Nunavut,0,2011-03-09,9,3,2011
24,24,1539,2011-03-09,3/14/11,38,4.89,0.05,184.99,-144.55,329.54,-0.781393589,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Corporate,Carl Ludwig,Canada,CA-Nunavut,Nunavut,0,2011-03-09,9,3,2011
25,25,1540,2012-08-04,8/6/12,30,2.88,0.09,80.9,5.76,75.14,0.071199011,Office Supplies,Pens & Art Supplies,Newell 335,Home Office,Don Miller,Canada,CA-Nunavut,Nunavut,0,2012-08-04,4,8,2012
26,26,1702,2011-05-06,5/7/11,23,2.84,0.06,67.24,4.9,62.34,0.07287329,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accentâ„¢ Tank-Style Highlighters,Home Office,Annie Cyprus,Canada,CA-Nunavut,Nunavut,0,2011-05-06,6,5,2011
27,27,1761,2010-12-23,12/25/10,25,449.99,0.01,12028.23,-547.61,12575.84,-0.045527064,Technology,Copiers and Fax,Canon PC940 Copier,Corporate,Carl Ludwig,Canada,CA-Nunavut,Nunavut,0,2010-12-23,23,12,2010
28,28,1792,2010-11-08,11/13/10,28,13.48,0.04,370.48,-5.45,375.93,-0.014710646,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Consumer,Carlos Soltero,Canada,CA-Nunavut,Nunavut,0,2010-11-08,8,11,2010
29,29,2275,2012-10-21,10/22/12,49,6.08,0.08,278.0,41.67,236.33,0.149892086,Office Supplies,Pens & Art Supplies,Col-EraseÂ® Pencils with Erasers,Small Business,Grant Carroll,Canada,CA-Nunavut,Nunavut,0,2012-10-21,21,10,2012
30,30,2277,2011-01-01,1/2/11,10,5.98,0.01,66.54,-46.03,112.57,-0.691764352,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Home Office,Don Miller,Canada,CA-Nunavut,Nunavut,0,2011-01-01,1,1,2011
31,31,2277,2011-01-01,1/3/11,21,40.99,0.06,845.32,33.67,811.65,0.03983107,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Home Office,Don Miller,Canada,CA-Nunavut,Nunavut,0,2011-01-01,1,1,2011
32,32,2532,2011-10-10,10/11/11,39,7.31,0.03,282.07,140.01,142.06,0.49636615,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Corporate,Alan Barnes,Canada,CA-Nunavut,Nunavut,0,2011-10-10,10,10,2011
33,33,2532,2011-10-10,10/11/11,24,20.99,0.01,426.037,-78.96,504.997,-0.185336015,Technology,Telephones and Communication,Accessory37,Corporate,Alan Barnes,Canada,CA-Nunavut,Nunavut,0,2011-10-10,10,10,2011
34,34,2631,2010-09-23,9/25/10,27,40.96,0.08,1078.49,252.66,825.83,0.234271991,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Corporate,Jack Garza,Canada,CA-Nunavut,Nunavut,0,2010-09-23,23,9,2010
35,35,2757,2011-07-19,7/19/11,39,95.95,0.07,3554.46,-1766.01,5320.47,-0.496843402,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Corporate,Julia West,Canada,CA-Nunavut,Nunavut,0,2011-07-19,19,7,2011
36,36,2791,2009-10-09,10/9/09,47,3.89,0.0,191.67,-236.27,427.94,-1.232691605,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Corporate,Eugene Barchas,Canada,CA-Nunavut,Nunavut,0,2009-10-09,9,10,2009
37,37,2791,2009-10-09,10/11/09,49,120.98,0.09,5586.33,80.44,5505.89,0.014399436,Furniture,Chairs & Chairmats,Hon Every-DayÂ® Chair Series Swivel Task Chairs,Corporate,Eugene Barchas,Canada,CA-Nunavut,Nunavut,0,2009-10-09,9,10,2009
38,38,2791,2009-10-09,10/10/09,18,30.98,0.1,507.64,118.94,388.7,0.234299898,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Corporate,Eugene Barchas,Canada,CA-Nunavut,Nunavut,0,2009-10-09,9,10,2009
39,39,2976,2010-12-09,12/11/10,30,500.98,0.09,14223.82,3424.22,10799.6,0.240738423,Furniture,Chairs & Chairmats,Global Troyâ„¢ Executive Leather Low-Back Tilter,Consumer,Edward Hooks,Canada,CA-Nunavut,Nunavut,0,2010-12-09,9,12,2010
40,40,3232,2012-10-08,10/10/12,5,7.84,0.06,42.66,-11.83,54.49,-0.277308955,Office Supplies,Binders and Binder Accessories,XtraLifeÂ® ClearVueâ„¢ Slant-DÂ® Ring Binders by Cardinal,Small Business,Brad Eason,Canada,CA-Nunavut,Nunavut,0,2012-10-08,8,10,2012
41,41,3524,2012-05-02,5/3/12,21,18.97,0.0,427.32,52.35,374.97,0.122507723,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Business,Nicole Hansen,Canada,CA-Nunavut,Nunavut,0,2012-05-02,2,5,2012
42,42,3908,2010-03-08,3/8/10,8,115.99,0.0,820.284,-180.2,1000.484,-0.219680013,Technology,Telephones and Communication,6160,Corporate,Dorothy Wardle,Canada,CA-Nunavut,Nunavut,0,2010-03-08,8,3,2010
43,43,4132,2011-05-28,5/30/11,5,2.88,0.01,14.76,1.32,13.44,0.089430894,Office Supplies,Labels,Avery 49,Corporate,Aaron Bergman,Canada,CA-Nunavut,Nunavut,0,2011-05-28,28,5,2011
44,44,4612,2010-09-19,9/21/10,9,4.48,0.06,89.55,-375.64,465.19,-4.194751535,Office Supplies,Appliances,Hoover Portapowerâ„¢ Portable Vacuum,Corporate,Jim Radford,Canada,CA-Nunavut,Nunavut,0,2010-09-19,19,9,2010
45,45,4676,2011-08-31,9/1/11,11,125.99,0.04,1210.0515,-104.25,1314.3015,-0.086153358,Technology,Telephones and Communication,Timeport L7089,Home Office,Annie Cyprus,Canada,CA-Nunavut,Nunavut,0,2011-08-31,31,8,2011
46,46,4676,2011-08-31,9/2/11,50,3.75,0.03,187.83,85.96,101.87,0.457647873,Office Supplies,Labels,Avery 510,Home Office,Annie Cyprus,Canada,CA-Nunavut,Nunavut,0,2011-08-31,31,8,2011
47,47,4676,2011-08-31,9/2/11,3,12.28,0.07,49.59,-8.38,57.97,-0.168985683,Office Supplies,Paper,Xerox 1881,Home Office,Annie Cyprus,Canada,CA-Nunavut,Nunavut,0,2011-08-31,31,8,2011
48,48,4676,2011-08-31,9/1/11,30,155.99,0.01,4253.009,1115.69,3137.319,0.262329565,Technology,Telephones and Communication,LX 788,Home Office,Annie Cyprus,Canada,CA-Nunavut,Nunavut,0,2011-08-31,31,8,2011
49,49,5284,2011-07-08,7/10/11,7,8.69,0.1,59.38,-3.05,62.43,-0.051364096,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-DÂ® Ring Binder, Heavy Gauge Vinyl",Home Office,Annie Cyprus,Canada,CA-Nunavut,Nunavut,0,2011-07-08,8,7,2011
50,50,5316,2009-01-30,2/1/09,42,31.78,0.1,1285.37,514.07,771.3,0.399939317,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Corporate,Clay Rozendal,Canada,CA-Nunavut,Nunavut,0,2009-01-30,30,1,2009
