,Line_ct,Order ID,Order Date,Ship Date,Order Quantity,Unit Price,Discount,Sales,Profit,Cost,GM%,Product Category,Product Sub-Category,Product Name,Customer Segment,Customer Name,Country,Region,City (US),State (US),Postal Code (US),Returned,Order_YMD,Order Day,Order Month,Order Year
8399,0,CA-2013-152156,2013-11-09,11/12/13,2,130.98,0.0,261.96,41.9136,220.0464,0.16,Furniture,Bookcases,Bush Somerset Collection Bookcase,Consumer,Claire Gute,United States,US-South,Henderson,Kentucky,42420,0,2013-11-09,9,11,2013
8400,1,CA-2013-152156,2013-11-09,11/12/13,3,243.98,0.0,731.94,219.582,512.358,0.3,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Consumer,Claire Gute,United States,US-South,Henderson,Kentucky,42420,0,2013-11-09,9,11,2013
8401,2,CA-2013-138688,2013-06-13,6/17/13,2,7.31,0.0,14.62,6.8714,7.7486,0.47,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Corporate,Darrin Van Huff,United States,US-West,Los Angeles,California,90036,0,2013-06-13,13,6,2013
8402,3,US-2012-108966,2012-10-11,10/18/12,5,348.21,0.45,957.5775,-383.031,1340.6085,-0.4,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,Consumer,Sean O'Donnell,United States,US-South,Fort Lauderdale,Florida,33311,0,2012-10-11,11,10,2012
8403,4,US-2012-108966,2012-10-11,10/18/12,2,13.98,0.2,22.368,2.5164,19.8516,0.1125,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,Consumer,Sean O'Donnell,United States,US-South,Fort Lauderdale,Florida,33311,0,2012-10-11,11,10,2012
8404,5,CA-2011-115812,2011-06-09,6/14/11,7,6.98,0.0,48.86,14.1694,34.6906,0.29,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Consumer,Brosina Hoffman,United States,US-West,Los Angeles,California,90032,0,2011-06-09,9,6,2011
8405,6,CA-2011-115812,2011-06-09,6/14/11,4,1.82,0.0,7.28,1.9656,5.3144,0.27,Office Supplies,Art,Newell 322,Consumer,Brosina Hoffman,United States,US-West,Los Angeles,California,90032,0,2011-06-09,9,6,2011
8406,7,CA-2011-115812,2011-06-09,6/14/11,6,188.99,0.2,907.152,90.7152,816.4368,0.1,Technology,Phones,Mitel 5320 IP Phone VoIP phone,Consumer,Brosina Hoffman,United States,US-West,Los Angeles,California,90032,0,2011-06-09,9,6,2011
8407,8,CA-2011-115812,2011-06-09,6/14/11,3,7.71,0.2,18.504,5.7825,12.7215,0.3125,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,Consumer,Brosina Hoffman,United States,US-West,Los Angeles,California,90032,0,2011-06-09,9,6,2011
8408,9,CA-2011-115812,2011-06-09,6/14/11,5,22.98,0.0,114.9,34.47,80.43,0.3,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,Consumer,Brosina Hoffman,United States,US-West,Los Angeles,California,90032,0,2011-06-09,9,6,2011
8409,10,CA-2011-115812,2011-06-09,6/14/11,9,236.97,0.2,1706.184,85.3092,1620.8748,0.05,Furniture,Tables,Chromcraft Rectangular Conference Tables,Consumer,Brosina Hoffman,United States,US-West,Los Angeles,California,90032,0,2011-06-09,9,6,2011
8410,11,CA-2011-115812,2011-06-09,6/14/11,4,284.82,0.2,911.424,68.3568,843.0672,0.075,Technology,Phones,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,Consumer,Brosina Hoffman,United States,US-West,Los Angeles,California,90032,0,2011-06-09,9,6,2011
